channel   H                   channel   C                   channel   N                   channel   O                   channel   Si                  channel   Ti                  channel   Co                  channel   Cu                  
1030      0                   1030      0                   1030      0                   1030      0                   1030      0.416619            1030      0.128759            1030      0                   1030      0.318261            
1050      0                   1050      0                   1050      0                   1050      0                   1050      0.501298            1050      0.118434            1050      0                   1050      0.236448            
1070      0                   1070      0                   1070      0                   1070      0                   1070      0.526865            1070      0.112496            1070      0                   1070      0.0703132           
1090      0                   1090      0                   1090      0                   1090      0                   1090      0.549448            1090      0.105935            1090      0                   1090      0.00462401          
1110      0                   1110      0                   1110      0                   1110      0                   1110      0.570689            1110      0.0870107           1110      0                   1110      0                   
1130      0                   1130      0                   1130      0                   1130      0                   1130      0.614512            1130      0.0883397           1130      0                   1130      0                   
1150      0                   1150      0                   1150      0                   1150      0                   1150      0.633004            1150      0.0833225           1150      0                   1150      0                   
1170      0                   1170      0                   1170      0                   1170      0                   1170      0.665623            1170      0.073223            1170      0                   1170      0                   
1190      0                   1190      0                   1190      0                   1190      0                   1190      0.669241            1190      0.0677737           1190      0                   1190      0                   
1210      0                   1210      0                   1210      0                   1210      0                   1210      0.728225            1210      0.0580656           1210      0                   1210      0                   
1230      0                   1230      0                   1230      0                   1230      0                   1230      0.700453            1230      0.0489403           1230      0                   1230      0                   
1250      0                   1250      0                   1250      0                   1250      0                   1250      0.734317            1250      0.0462957           1250      0                   1250      0                   
1270      0                   1270      0                   1270      0                   1270      0                   1270      0.749529            1270      0.0509865           1270      0                   1270      0                   
1290      0                   1290      0                   1290      0                   1290      0                   1290      0.746974            1290      0.041852            1290      0                   1290      0                   
1310      0                   1310      0                   1310      0                   1310      0                   1310      0.758728            1310      0.0301924           1310      0                   1310      0                   
1330      0                   1330      0                   1330      0                   1330      0                   1330      0.757648            1330      0.0016855           1330      0                   1330      0                   
1350      0                   1350      0                   1350      0                   1350      0                   1350      0.739347            1350      0                   1350      0                   1350      0                   
1370      0                   1370      0                   1370      0                   1370      0                   1370      0.744643            1370      0                   1370      0                   1370      0                   
1390      0                   1390      0                   1390      0                   1390      0                   1390      0.734813            1390      0                   1390      0                   1390      0                   
1410      0                   1410      0                   1410      0                   1410      0                   1410      0.736998            1410      0                   1410      0                   1410      0                   
1430      0                   1430      0                   1430      0                   1430      0                   1430      0.692915            1430      0                   1430      0                   1430      0                   
1450      0                   1450      0                   1450      0                   1450      0                   1450      0.699375            1450      0                   1450      0                   1450      0                   
1470      0                   1470      0                   1470      0                   1470      0                   1470      0.726415            1470      0                   1470      0                   1470      0                   
1490      0                   1490      0                   1490      0                   1490      0                   1490      0.694451            1490      0                   1490      0                   1490      0                   
1510      0                   1510      0                   1510      0                   1510      0                   1510      0.692078            1510      0                   1510      0                   1510      0                   
1530      0                   1530      0                   1530      0                   1530      0                   1530      0.680509            1530      0                   1530      0                   1530      0                   
1550      0                   1550      0                   1550      0                   1550      0                   1550      0.672379            1550      0                   1550      0                   1550      0                   
1570      0                   1570      0                   1570      0                   1570      0                   1570      0.641341            1570      0                   1570      0                   1570      0                   
1590      0                   1590      0                   1590      0                   1590      0                   1590      0.6444              1590      0                   1590      0                   1590      0                   
1610      0                   1610      0                   1610      0                   1610      0                   1610      0.656556            1610      0                   1610      0                   1610      0                   
1630      0                   1630      0                   1630      0                   1630      0                   1630      0.617603            1630      0                   1630      0                   1630      0                   
1650      0                   1650      0                   1650      0                   1650      0                   1650      0.616324            1650      0                   1650      0                   1650      0                   
1670      0                   1670      0                   1670      0                   1670      0                   1670      0.61543             1670      0                   1670      0                   1670      0                   
1690      0                   1690      0                   1690      0                   1690      0                   1690      0.588447            1690      0                   1690      0                   1690      0                   
                                                                                                                                                                                                                                                
